ID	State FIP	County FIP 	Median Home Value	Median Home Value Margin of Error	Median Gross Rent	Median Gross Rent Margin of Error	Total Housing Units	Total Margin of Error	Total Occupied Housing Units	Occupied Margin of Error (percent)	Total Vacant Housing Units	Vacant Margin of Error (percent)	Latitude	Longitude
1083	21	177	127400	11798	718	72	13557	49	12123	257	1434	270	+37.2138159	-087.1340919
1084	21	179	238000	10065	1008	73	20330	34	19150	266	1180	266	+37.8031198	-085.4659312
1085	21	181	123000	16280	728	117	3333	18	2776	170	557	171	+38.3380310	-084.0262231
1086	21	183	121400	6846	739	71	10241	24	9107	275	1134	269	+37.4778588	-086.8448710
1087	21	185	393100	9834	1219	83	23837	85	23025	232	812	216	+38.4001274	-085.4561499
1088	21	187	168700	16399	830	93	5388	19	4252	220	1136	222	+38.4993945	-084.8415902
1089	21	189	80100	23071	448	268	2052	177	1567	158	485	137	+37.4236223	-083.6916370
1090	21	191	159800	18463	793	46	6299	25	5442	241	857	241	+38.6962841	-084.3519435
1091	21	193	91800	5380	798	64	13295	29	11078	335	2217	332	+37.2412822	-083.2177723
1092	21	195	112000	9223	858	63	29044	39	24284	485	4760	482	+37.4860314	-082.4109120
1093	21	197	141100	17610	747	74	5647	37	4790	234	857	238	+37.8095668	-083.8312347
1094	21	199	166900	5780	803	38	31722	48	26210	564	5512	567	+37.1074283	-084.5769692
1095	21	201	165100	38141	548	338	1003	115	810	97	193	74	+38.5134727	-084.0642300
1096	21	203	123600	15161	676	57	7391	27	6534	256	857	256	+37.3610502	-084.3143684
1097	21	205	161800	12413	825	42	10623	51	9592	240	1031	245	+38.2042659	-083.4280787
1098	21	207	163200	15291	681	45	10169	30	7562	282	2607	279	+36.9905867	-085.0549503
1099	21	209	288500	8956	1247	60	23725	65	22642	255	1083	250	+38.2857099	-084.5783405
1100	21	211	304800	14525	1033	49	19531	31	18484	285	1047	282	+38.2390111	-085.2282471
1101	21	213	229400	21713	1012	69	8627	25	8025	208	602	207	+36.7409289	-086.5817871
1102	21	215	330000	11906	987	56	7712	25	7308	157	404	159	+38.0253130	-085.3173123
1103	21	217	174200	14614	718	77	11210	27	10260	277	950	274	+37.3662101	-085.3280585
1104	21	219	166700	16005	851	116	5187	20	4559	151	628	149	+36.8403384	-087.1836416
1105	21	221	207700	13511	803	78	7652	20	6060	249	1592	252	+36.8076808	-087.8586515
1106	21	223	172000	33421	863	97	3880	14	3382	156	498	152	+38.6200401	-085.3512075
1107	21	225	104500	13323	790	40	5846	47	5198	187	648	182	+37.6580293	-087.9516496
1108	21	227	258000	8319	1002	31	59868	63	55643	573	4225	569	+36.9956340	-086.4235786
1109	21	229	179200	30020	744	195	5244	27	4852	150	392	145	+37.7542085	-085.1754162
1110	21	231	135700	14202	727	65	10134	40	8074	268	2060	265	+36.8007715	-084.8265896
1111	21	233	112900	16429	783	95	5723	28	4923	190	800	184	+37.5203750	-087.6852058
1112	21	235	131800	11572	798	45	15629	35	13541	361	2088	365	+36.7580237	-084.1446485
1113	21	237	75800	17593	501	60	3053	12	2673	162	380	162	+37.7438929	-083.4951095
1114	21	239	299700	14253	1138	50	11686	28	10814	200	872	201	+38.0431027	-084.7488546
1115	22	001	155500	11929	681	63	25107	37	22099	409	3008	401	+30.2914970	-092.4110366
1116	22	003	104500	17150	775	82	9587	34	7854	310	1733	307	+30.6527435	-092.8196052
