ID	State FIP	County FIP 	Median Home Value	Median Home Value Margin of Error	Median Gross Rent	Median Gross Rent Margin of Error	Total Housing Units	Total Margin of Error	Total Occupied Housing Units	Occupied Margin of Error (percent)	Total Vacant Housing Units	Vacant Margin of Error (percent)	Latitude	Longitude
2428	46	135	225900	15221	781	58	10616	35	9695	258	921	251	+43.0066030	-097.3883614
2429	46	137	99600	14674	734	76	885	11	735	26	150	26	+44.9897638	-101.6608274
2430	47	001	239400	7939	1031	40	35880	57	32755	523	3125	532	+36.1167307	-084.1954177
2431	47	003	281200	10735	1051	82	20488	47	19505	302	983	301	+35.5136604	-086.4582939
2432	47	005	153600	12015	768	50	8569	20	7121	272	1448	275	+36.0709478	-088.0712321
2433	47	007	189400	21598	830	53	5912	31	4858	149	1054	150	+35.5935612	-085.2059104
2434	47	009	320500	7701	1090	33	61850	75	55522	683	6328	699	+35.6881849	-083.9229731
2435	47	011	261900	8392	1030	32	45949	58	42596	464	3353	459	+35.1539144	-084.8594137
2436	47	013	186500	13322	716	39	20559	26	17186	413	3373	410	+36.4015922	-084.1592495
2437	47	015	252000	24670	908	172	6453	26	5776	159	677	161	+35.8083940	-086.0624044
2438	47	017	142400	10435	755	52	13100	89	11541	306	1559	282	+35.9657478	-088.4523791
2439	47	019	168200	4365	739	29	28118	85	24425	463	3693	444	+36.2847441	-082.1265932
2440	47	021	338700	11253	1345	163	17449	46	16279	308	1170	327	+36.2551687	-087.1008077
2441	47	023	164400	10069	756	70	7279	19	6430	217	849	214	+35.4202530	-088.6113533
2442	47	025	159900	9786	745	36	15512	45	13724	363	1788	362	+36.5015720	-083.6606975
2443	47	027	136400	31244	557	151	4005	21	3486	181	519	182	+36.5457493	-085.5457173
2444	47	029	158100	11364	798	91	17957	52	15509	442	2448	444	+35.9161980	-083.1192242
2445	47	031	246800	9830	913	39	25467	48	23097	453	2370	455	+35.4887654	-086.0782018
2446	47	033	158900	7341	857	89	6134	21	5508	139	626	138	+35.8187949	-089.1324936
2447	47	035	250500	10266	839	39	31455	42	28195	410	3260	409	+35.9523984	-084.9947614
2448	47	037	417400	5765	1582	18	357113	178	324907	1705	32206	1711	+36.1691287	-086.7847898
2449	47	039	139600	16377	757	74	6591	19	4568	215	2023	212	+35.6031362	-088.1102917
2450	47	041	235500	16790	839	151	10155	30	8652	250	1503	246	+35.9822191	-085.8335959
2451	47	043	306400	13687	1015	75	23657	40	21757	407	1900	411	+36.1455325	-087.3641546
2452	47	045	166400	9939	782	48	16311	25	14769	384	1542	383	+36.0541960	-089.3983058
2453	47	047	340800	12502	902	79	18494	58	17210	288	1284	276	+35.1969933	-089.4138027
2454	47	049	168200	13978	709	199	9260	36	7831	258	1429	258	+36.3698921	-084.9377641
2455	47	051	236900	7988	894	39	20110	67	17445	368	2665	365	+35.1559259	-086.0992032
2456	47	053	156900	9544	819	44	22617	33	20360	396	2257	393	+35.9916316	-088.9338117
2457	47	055	234300	15496	862	43	14221	31	12058	374	2163	379	+35.2027228	-087.0353190
2458	47	057	189200	36466	746	151	11835	26	9660	277	2175	286	+36.2775091	-083.5095458
2459	47	059	207500	8440	737	33	32697	60	28400	568	4297	569	+36.1794867	-082.8475235
2460	47	061	154000	8605	636	76	6240	31	5161	163	1079	160	+35.3933519	-085.7103737
2461	47	063	210900	8889	857	37	28095	43	26146	362	1949	365	+36.2183967	-083.2660711
2462	47	065	312800	5741	1253	28	168013	178	154181	1015	13832	1026	+35.1634720	-085.2018432
2463	47	067	134500	36424	622	48	3675	12	2828	135	847	136	+36.5213528	-083.2274928
2464	47	069	121700	7836	812	54	10750	182	9110	338	1640	297	+35.2187853	-088.9886970
2465	47	071	160400	9407	775	22	15161	26	11001	312	4160	314	+35.2018926	-088.1856958
2466	47	073	176300	9811	785	46	27445	45	23567	457	3878	459	+36.4520892	-082.9314850
2467	47	075	152400	18940	762	45	8260	29	7167	228	1093	224	+35.5866782	-089.2826913
2468	47	077	164800	8750	745	51	12963	25	10920	325	2043	325	+35.6539945	-088.3876742
2469	47	079	160200	7004	761	49	17088	53	13452	342	3636	342	+36.3252950	-088.3002878
2470	47	081	224100	15995	893	78	10711	30	9435	262	1276	262	+35.8023275	-087.4671159
2471	47	083	172700	23085	735	95	3954	19	3353	104	601	105	+36.2857824	-087.7055983
2472	47	085	193400	11141	862	110	8892	30	7241	301	1651	308	+36.0408218	-087.7904526
2473	47	087	155500	16677	758	142	5854	17	4795	198	1059	197	+36.3542499	-085.6741278
2474	47	089	229300	12829	904	45	25632	102	21817	574	3815	568	+36.0484520	-083.4412156
2475	47	091	178600	19569	674	48	8761	34	7298	327	1463	322	+36.4532029	-081.8612467
2476	47	093	320900	5524	1261	26	218661	151	201146	1077	17515	1090	+35.9927265	-083.9377209
2477	47	095	97900	9427	532	66	2494	38	2067	121	427	124	+36.3339054	-089.4855365
2478	47	097	143200	18734	774	37	10703	43	9325	241	1378	244	+35.7629507	-089.6277318
2479	47	099	194400	8477	763	63	18730	31	16991	264	1739	260	+35.2204764	-087.3965460
2480	47	101	173400	25963	708	65	5804	19	5387	265	417	263	+35.5232441	-087.4969827
2481	47	103	229700	14990	857	44	16291	117	14849	301	1442	289	+35.1427838	-086.5934033
2482	47	105	348000	16832	1062	81	26043	58	24056	382	1987	375	+35.7350854	-084.3140848
2483	47	107	211800	11027	803	50	24137	58	21218	419	2919	430	+35.4244722	-084.6199488
2484	47	109	161800	8330	723	36	12327	45	9939	311	2388	317	+35.1753751	-088.5637397
2485	47	111	225700	12576	846	33	10997	24	9421	305	1576	300	+36.5377572	-086.0009596
2486	47	113	211800	8157	1123	26	44091	73	40153	486	3938	465	+35.6060563	-088.8334238
2487	47	115	195200	12162	853	109	14058	30	11869	315	2189	321	+35.1275650	-085.6074294
2488	47	117	279800	12813	946	66	14749	26	13622	293	1127	291	+35.4683285	-086.7658677
2489	47	119	355700	8714	1300	71	46159	40	42306	653	3853	660	+35.6156963	-087.0777632
2490	47	121	180000	15928	875	44	6275	22	5235	263	1040	265	+35.5122030	-084.8161015
2491	47	123	227500	11877	714	89	21764	63	19714	319	2050	318	+35.4478181	-084.2497050
2492	47	125	280200	5706	1308	32	93445	122	87759	746	5686	733	+36.5003535	-087.3808865
2493	47	127	285300	27777	841	128	3017	16	2739	132	278	135	+35.2888885	-086.3586840
2494	47	129	166300	11785	770	105	8566	34	7188	264	1378	260	+36.1386970	-084.6392616
2495	47	131	133600	10724	770	28	14326	66	12527	289	1799	308	+36.3618921	-089.1480777
2496	47	133	173200	16366	832	187	10406	23	9071	261	1335	263	+36.3448504	-085.2830756
2497	47	135	126900	19192	758	65	4866	17	3610	264	1256	271	+35.6637521	-087.8693256
2498	47	137	178500	25053	564	194	3360	18	2167	161	1193	160	+36.5593638	-085.0757410
2499	47	139	169900	13999	676	58	9064	28	7424	253	1640	256	+35.1094371	-084.5411124
2500	47	141	282500	10622	908	34	36506	107	33601	441	2905	416	+36.1409404	-085.4961801
2501	47	143	206000	12728	839	46	15451	50	13475	364	1976	360	+35.6005900	-084.9495484
2502	47	145	232900	8429	785	36	25680	36	22790	383	2890	380	+35.8472504	-084.5239292
2503	47	147	335000	9263	1199	65	29824	55	28255	273	1569	265	+36.5243849	-086.8725935
2504	47	149	382600	5768	1502	35	138929	84	129431	1019	9498	997	+35.8433688	-086.4172127
2505	47	151	124900	27485	686	94	9873	26	8755	259	1118	255	+36.4305924	-084.5040915
2506	47	153	232600	18366	818	62	6992	29	6194	213	798	217	+35.3723358	-085.4100820
2507	47	155	299000	12387	1072	38	58967	116	40344	762	18623	795	+35.7878224	-083.5249005
2508	47	157	249100	4330	1232	12	404333	259	362741	1701	41592	1710	+35.1845529	-089.8946125
2509	47	159	243800	10339	922	67	8752	25	7932	182	820	182	+36.2566451	-085.9419149
2510	47	161	204700	19355	945	65	6718	26	5323	214	1395	218	+36.4584642	-087.8118894
2511	47	163	213300	6300	889	29	76324	125	68907	781	7417	795	+36.5096806	-082.3013363
2512	47	165	393100	6143	1424	36	83236	81	78582	621	4654	619	+36.4724225	-086.4584051
2513	47	167	240600	7437	1013	55	24417	55	22660	382	1757	378	+35.4987625	-089.7471452
2514	47	169	337600	18826	853	81	3974	44	3700	150	274	147	+36.3930297	-086.1566909
2515	47	171	189600	16867	750	197	8749	24	7795	275	954	275	+36.1001287	-082.4182181
2516	47	173	204000	15444	847	49	9831	29	7931	288	1900	291	+36.2841401	-083.8360878
2517	47	175	159200	10494	700	280	2922	19	2569	119	353	119	+35.6992335	-085.4584092
2518	47	177	192900	14341	827	46	18537	44	16203	438	2334	444	+35.6782498	-085.7773428
2519	47	179	249000	7958	1005	31	62077	57	56759	569	5318	557	+36.2956649	-082.4950374
2520	47	181	130700	17186	619	90	7211	25	5982	217	1229	219	+35.2428473	-087.8198433
2521	47	183	151200	12945	803	43	15056	30	13384	318	1672	322	+36.3035963	-088.7211938
2522	47	185	207200	15589	849	32	12335	40	11226	277	1109	281	+35.9270486	-085.4557854
2523	47	187	751900	14835	1969	53	96921	132	92214	804	4707	764	+35.8948454	-086.8978885
2524	47	189	428000	9088	1486	61	63031	60	59139	562	3892	559	+36.1494307	-086.2911813
2525	48	001	185300	20101	1041	66	20648	119	17579	486	3069	492	+31.8412614	-095.6617267
2526	48	003	195700	13443	1305	263	7153	17	6844	148	309	145	+32.3122581	-102.6402058
2527	48	005	163500	7633	1076	30	37023	46	32271	440	4752	439	+31.2518963	-094.6111337
2528	48	007	265400	19506	1128	67	15999	40	12478	428	3521	446	+28.1226209	-096.9675012
2529	48	009	189100	17828	770	29	3966	27	3468	111	498	107	+33.6163054	-098.6872669
2530	48	011	171500	31190	1021	124	886	46	767	67	119	40	+34.9641790	-101.3566363
2531	48	013	174800	15747	1061	60	19214	32	16786	467	2428	465	+28.8914775	-098.5353810
2532	48	015	296900	21216	1137	104	14319	53	12128	350	2191	337	+29.8919013	-096.2701696
2533	48	017	105300	14281	931	94	2740	204	2209	247	531	234	+34.0675209	-102.8303446
2534	48	019	278400	24132	1149	107	11585	66	9255	309	2330	306	+29.7563890	-099.2482849
2535	48	021	314800	11453	1410	61	39706	93	36868	521	2838	524	+30.1007718	-097.3106392
2536	48	023	103100	13576	581	220	2190	86	1530	109	660	147	+33.6188024	-099.2081888
2537	48	025	111300	15394	1065	107	10650	94	8807	317	1843	297	+28.4160769	-097.7425858
2538	48	027	241000	4317	1224	19	155018	180	142305	954	12713	941	+31.0427336	-097.4812603
2539	48	029	262200	2140	1354	12	820780	317	750939	2459	69841	2521	+29.4486708	-098.5201465
2540	48	031	483500	58411	1017	127	6129	26	5166	218	963	222	+30.2662030	-098.3993321
2541	48	033	108900	40411	-666666666	-222222222	368	48	243	43	125	41	+32.7385899	-101.4391990
2542	48	035	200900	11149	928	129	9348	55	7496	216	1852	209	+31.9008189	-097.6376407
2543	48	037	173000	8399	988	24	39948	78	35073	498	4875	497	+33.4460648	-094.4223930
2544	48	039	301600	6079	1454	35	150321	222	133898	1160	16423	1168	+29.1678175	-095.4346470
2545	48	041	296000	7097	1193	18	100826	174	91087	1012	9739	973	+30.6567132	-096.3023935
2546	48	043	227000	14339	839	51	5917	213	4951	177	966	247	+29.8089965	-103.2524579
2547	48	045	90300	13013	631	46	849	65	553	74	296	56	+34.5251725	-101.2058930
2548	48	047	81000	19320	719	249	3884	257	2977	260	907	259	+27.0349936	-098.2152756
2549	48	049	158900	7445	919	40	19246	63	14972	381	4274	375	+31.7641372	-098.9984560
2550	48	051	191000	22131	1063	211	9579	27	7900	218	1679	220	+30.4934867	-096.6220912
2551	48	053	344000	13630	1319	69	25555	47	20969	478	4586	480	+30.7896305	-098.2011868
2552	48	055	240500	10665	1173	75	17582	75	16647	240	935	250	+29.8323986	-097.6281410
2553	48	057	171200	15765	891	314	10833	330	8670	462	2163	352	+28.4417191	-096.5795739
2554	48	059	145500	16718	817	163	6539	24	5239	264	1300	260	+32.2931499	-099.3722490
2555	48	061	136500	3909	912	25	159679	95	138433	877	21246	890	+26.1029227	-097.4789584
2556	48	063	173100	11577	801	62	5824	23	4817	248	1007	249	+32.9745813	-094.9790850
2557	48	065	143000	25039	956	109	2810	40	2293	113	517	112	+35.4054961	-101.3553558
2558	48	067	146400	13000	852	76	13993	32	11805	313	2188	315	+33.0836979	-094.3575786
2559	48	069	95000	31479	896	180	3024	11	2413	136	611	136	+34.5336207	-102.2587856
2560	48	071	329500	12209	1609	140	18937	58	17229	420	1708	416	+29.6963741	-094.6694454
2561	48	073	169300	11608	933	28	21053	68	18185	453	2868	442	+31.8438807	-095.1563425
2562	48	075	125400	72371	913	209	2772	203	1838	196	934	250	+34.5246235	-100.2081658
2563	48	077	171500	12193	811	95	5163	34	4289	157	874	148	+33.7859042	-098.2129174
2564	48	079	53200	14031	697	198	1268	17	922	64	346	64	+33.6084401	-102.8304490
2565	48	081	117900	9746	729	114	2144	20	1594	95	550	95	+31.8771104	-100.6352305
2566	48	083	92500	12863	653	146	4899	27	3343	247	1556	249	+31.9142052	-099.3466223
2567	48	085	475600	3261	1859	15	437396	144	416646	1382	20750	1345	+33.1944942	-096.5794280
2568	48	087	104000	23321	714	246	1487	92	975	94	512	92	+34.9633577	-100.2721351
2569	48	089	209800	17871	926	150	10102	16	7937	335	2165	337	+29.5962960	-096.5089347
2570	48	091	427200	9229	1603	55	77961	89	71354	807	6607	794	+29.8123773	-098.2581288
2571	48	093	155600	18342	855	61	6940	41	5355	212	1585	206	+31.9516447	-098.5496169
2572	48	095	107400	26704	733	337	1414	36	814	86	600	71	+31.3188831	-099.8636485
2573	48	097	240400	9265	1047	85	17944	65	16528	353	1416	344	+33.6391964	-097.2103433
2574	48	099	195300	10120	1186	41	29512	259	26986	500	2526	377	+31.3911774	-097.7980223
2575	48	101	59300	24701	264	171	930	100	577	96	353	90	+34.0919063	-100.2764416
2576	48	103	129400	27255	882	225	1840	19	1632	109	208	103	+31.4227965	-102.4877739
2577	48	105	-666666666	-222222222	558	43	1729	171	1225	177	504	169	+30.7175316	-101.4042113
2578	48	107	80900	6480	684	117	2659	26	1929	101	730	104	+33.6091440	-101.2987099
2579	48	109	79300	36646	1043	112	1097	202	868	208	229	94	+31.4459085	-104.5269447
2580	48	111	151400	17833	1081	95	3052	11	2586	195	466	197	+36.2863696	-102.5940204
2581	48	113	303000	2811	1565	11	1064965	429	982737	2364	82228	2287	+32.7669866	-096.7784238
2582	48	115	103400	14599	777	231	4903	43	4043	207	860	205	+32.7425280	-101.9487714
2583	48	117	121300	13014	926	70	6984	25	6051	187	933	186	+34.9407663	-102.6075637
2584	48	119	164300	31835	945	268	2450	18	2173	106	277	106	+33.3859329	-095.6733504
2585	48	121	437200	3514	1728	18	376754	266	360392	1242	16362	1163	+33.2051320	-097.1211403
2586	48	123	170900	10297	921	44	9238	30	6921	244	2317	242	+29.0823457	-097.3616543
2587	48	125	65300	9315	758	79	1151	84	727	83	424	70	+33.6153628	-100.7876173
2588	48	127	85500	20047	823	366	4023	12	2998	185	1025	186	+28.4235871	-099.7658713
2589	48	129	96400	8951	780	161	1951	17	1180	103	771	104	+34.9550364	-100.8158457
2590	48	131	89400	20741	741	111	4420	15	3053	170	1367	171	+27.6811232	-098.4973933
2591	48	133	134800	33456	866	135	9384	30	7236	307	2148	304	+32.3246454	-098.8365596
2592	48	135	200200	9662	1259	48	68899	58	64563	626	4336	616	+31.8653008	-102.5425068
2593	48	137	-666666666	-222222222	713	234	815	115	404	118	411	93	+29.9859327	-100.3073997
2594	48	139	348600	5457	1594	53	75422	218	71759	597	3663	597	+32.3468783	-096.7969403
2595	48	141	180400	2408	1079	15	323571	169	299637	1051	23934	1065	+31.7664559	-106.2415203
2596	48	143	269100	12652	1146	105	18694	97	16816	347	1878	345	+32.2366689	-098.2205446
2597	48	145	110900	11497	731	49	7450	44	6344	219	1106	214	+31.2519298	-096.9341275
2598	48	147	233700	11147	1035	72	14814	65	12767	333	2047	320	+33.5911611	-096.1049882
2599	48	149	293900	21470	988	76	13233	32	10403	310	2830	308	+29.8778861	-096.9212309
2600	48	151	78600	13186	601	58	2016	82	1564	98	452	83	+32.7404728	-100.4031198
2601	48	153	89600	11872	676	83	2592	13	1952	115	640	113	+34.0737305	-101.3032742
2602	48	155	70700	23752	572	104	623	84	437	76	186	52	+33.9633063	-099.8168285
2603	48	157	374500	4216	1807	33	305633	161	292713	1417	12920	1431	+29.5266017	-095.7710149
2604	48	159	226300	31835	936	71	5121	17	3897	211	1224	210	+33.1758457	-095.2190662
2605	48	161	168000	8792	853	71	9123	48	7090	295	2033	281	+31.7017487	-096.1449568
2606	48	163	107700	9482	1016	110	6393	122	5437	254	956	230	+28.8693828	-099.1090050
2607	48	165	200700	24917	789	83	7719	18	6929	234	790	234	+32.7439423	-102.6315614
2608	48	167	314600	5354	1404	28	161868	113	140660	969	21208	972	+29.2339273	-094.8881969
2609	48	169	77800	41181	838	290	2190	139	1463	176	727	137	+33.1837920	-101.3011341
2610	48	171	460700	29317	1340	60	14373	40	11513	437	2860	436	+30.3250929	-098.9418498
2611	48	173	245200	58347	648	76	513	68	460	70	53	37	+31.8680062	-101.5214944
2612	48	175	192500	30620	754	188	3547	23	2811	172	736	168	+28.6607000	-097.4304145
2613	48	177	159100	21966	840	132	9020	30	7926	216	1094	213	+29.4619121	-097.4919205
2614	48	179	102900	11181	933	44	9952	34	7991	253	1961	252	+35.4025424	-100.8123736
2615	48	181	248400	7917	1310	38	62132	63	55248	772	6884	778	+33.6245482	-096.6757774
2616	48	183	203400	7707	1102	29	53883	63	48277	534	5606	539	+32.4864014	-094.8162768
2617	48	185	237400	16183	1069	123	12349	295	10255	451	2094	344	+30.5432314	-095.9880820
2618	48	187	304400	5253	1517	101	69700	74	65424	593	4276	586	+29.5826714	-097.9489953
2619	48	189	116500	12510	836	43	13392	63	11024	281	2368	299	+34.0684364	-101.8228879
2620	48	191	86100	22075	529	101	1739	14	1169	106	570	105	+34.4531894	-100.5763434
2621	48	193	147700	28509	885	89	4372	25	3120	186	1252	187	+31.7073424	-098.1117562
2622	48	195	124800	44572	939	183	2275	14	1858	107	417	110	+36.2728469	-101.3569304
2623	48	197	81900	18572	684	123	1808	97	1230	122	578	112	+34.2899036	-099.7456973
2624	48	199	205700	10130	1049	52	25100	34	22222	494	2878	486	+30.3296483	-094.3931782
2625	48	201	276600	1878	1401	7	1917790	473	1757164	3293	160626	3422	+29.8572730	-095.3930371
2626	48	203	180400	10574	974	36	29756	48	26287	462	3469	458	+32.5479914	-094.3744344
2627	48	205	262500	45149	1028	250	1814	129	1633	116	181	75	+35.8402444	-102.6100473
2628	48	207	98700	15519	782	159	3081	60	2123	138	958	125	+33.1759638	-099.7307740
2629	48	209	399800	10271	1495	39	104675	270	99849	744	4826	652	+30.0612247	-098.0292673
2630	48	211	205700	20033	836	397	1763	91	1476	100	287	102	+35.8159564	-100.2792102
2631	48	213	211300	7572	1048	47	41852	82	33575	572	8277	592	+32.2116334	-095.8534183
2632	48	215	140900	3806	957	14	308556	148	270210	1465	38346	1490	+26.3963839	-098.1809900
2633	48	217	179200	9564	946	49	16434	53	13767	320	2667	339	+31.9826412	-097.1306323
2634	48	219	127000	11958	850	42	9233	35	7915	252	1318	254	+33.6059320	-102.3433978
2635	48	221	306400	16663	1428	87	29066	89	25523	526	3543	510	+32.4301490	-097.8316766
2636	48	223	221100	11502	1109	51	15882	49	14002	297	1880	294	+33.1489673	-095.5654337
2637	48	225	164900	8879	887	71	10837	41	7983	266	2854	268	+31.3230362	-095.4215995
2638	48	227	155600	8624	1034	85	14048	202	12191	351	1857	287	+32.3034298	-101.4387208
2639	48	229	64000	12904	705	310	1133	11	842	60	291	57	+31.4508678	-105.3775489
2640	48	231	241700	8565	1222	46	43022	127	38466	518	4556	505	+33.1233077	-096.0842298
2641	48	233	119100	12764	932	98	10170	23	7000	307	3170	304	+35.8370470	-101.3627461
2642	48	235	204400	62870	1950	1665	771	62	588	70	183	56	+31.3034241	-100.9813037
2643	48	237	251200	24118	960	145	3811	20	2986	142	825	141	+33.2321604	-098.1711775
2644	48	239	203900	29145	1065	64	7029	25	6028	227	1001	227	+28.9598019	-096.5890800
2645	48	241	136400	12961	848	100	16727	66	13845	362	2882	365	+30.7529323	-094.0222943
2646	48	243	226200	86912	1241	157	1531	204	966	175	565	167	+30.6253574	-104.1918730
2647	48	245	169500	4123	1117	29	109884	114	94807	949	15077	955	+29.8539997	-094.1493306
2648	48	247	129400	29879	824	139	1872	205	1279	195	593	158	+27.0532315	-098.7475716
2649	48	249	123600	22797	938	94	16229	71	13279	412	2950	402	+27.7335157	-098.0908141
2650	48	251	285900	7040	1398	31	70796	87	65507	638	5289	639	+32.3796540	-097.3649061
2651	48	253	96500	17480	866	242	7062	76	5915	227	1147	211	+32.7437089	-099.8744297
2652	48	255	149000	30966	957	223	5975	68	4730	249	1245	216	+28.9089957	-097.8522048
2653	48	257	320900	6354	1554	97	54130	297	50990	602	3140	536	+32.5989442	-096.2883773
2654	48	259	512700	31098	1606	77	19213	38	17741	415	1472	407	+29.9435246	-098.7092693
2655	48	261	-666666666	-222222222	-666666666	-222222222	127	52	55	33	72	34	+26.8902129	-097.5911434
2656	48	263	122200	44831	675	127	523	79	308	69	215	56	+33.1847797	-100.7697199
2657	48	265	321200	13549	1109	78	25632	48	22615	529	3017	531	+30.0599530	-099.3533388
2658	48	267	201300	45084	790	143	2736	156	2041	177	695	155	+30.4794720	-099.7463959
2659	48	269	52100	35060	-666666666	-222222222	189	46	111	43	78	27	+33.6142675	-100.2453455
2660	48	271	82000	24621	1272	873	1482	157	1152	150	330	96	+29.3470865	-100.4177003
2661	48	273	161300	13189	1043	68	14012	136	11853	393	2159	364	+27.4387348	-097.6606203
2662	48	275	77300	9511	521	93	1804	20	1246	80	558	80	+33.6118897	-099.7303563
2663	48	277	200700	15488	949	60	22824	43	20019	451	2805	451	+33.6672628	-095.5703477
2664	48	279	82400	11973	968	98	5885	28	4677	179	1208	177	+34.0688615	-102.3480182
2665	48	281	250400	20933	1059	97	9871	26	8390	252	1481	253	+31.1967308	-098.2408885
2666	48	283	97800	35801	819	128	2271	226	1647	226	624	178	+28.3510976	-099.0967743
2667	48	285	228300	14053	910	57	10518	27	8476	261	2042	266	+29.3825778	-096.9236334
2668	48	287	267800	14204	1067	262	7981	53	6984	265	997	263	+30.3214983	-096.9768226
2669	48	289	186400	15970	907	64	9067	19	6741	334	2326	334	+31.3004926	-095.9956219
2670	48	291	181700	12421	1044	75	36121	77	31183	769	4938	765	+30.1585081	-094.8440607
2671	48	293	164200	9695	905	56	10443	57	8389	289	2054	284	+31.5475427	-096.5936230
2672	48	295	124300	14252	876	167	1432	88	1025	77	407	66	+36.2801998	-100.2726827
2673	48	297	159200	16463	924	101	5996	29	4358	218	1638	213	+28.3515349	-098.1269608
2674	48	299	356500	26188	998	93	15788	43	10765	426	5023	430	+30.7075845	-098.6846901
2675	48	301	-666666666	-222222222	-666666666	-222222222	33	29	27	29	6	5	+31.8449361	-103.5612293
2676	48	303	214100	3952	1178	17	139344	147	126225	983	13119	952	+33.6114688	-101.8199438
2677	48	305	147300	12555	927	104	2521	22	2099	96	422	95	+33.1784124	-101.8184933
2678	48	307	150500	40956	806	116	4219	24	3297	205	922	203	+31.2054766	-099.3598557
2679	48	309	243600	6152	1173	23	108454	95	97338	940	11116	939	+31.5495958	-097.2015108
2680	48	311	97100	43815	758	739	348	93	207	83	141	45	+28.3849220	-098.5788529
2681	48	313	176200	26339	851	316	5107	1015	4225	1021	882	231	+30.9668782	-095.9303719
2682	48	315	101500	19349	911	222	5623	29	4207	228	1416	223	+32.7981821	-094.3568533
2683	48	317	174800	82507	971	44	2135	90	1973	98	162	60	+32.3098298	-101.9618363
2684	48	319	293600	50968	800	272	2430	159	1711	125	719	136	+30.7039159	-099.2373018
2685	48	321	172900	18533	999	55	19058	30	15439	437	3619	438	+28.7747601	-096.0015316
2686	48	323	158700	7808	859	76	20445	31	18080	401	2365	396	+28.7297873	-100.3166780
2687	48	325	239600	10524	1196	138	19890	38	17804	400	2086	403	+29.3536614	-099.1110845
2688	48	327	108500	23334	729	186	1383	155	942	149	441	104	+30.8852677	-099.8588613
2689	48	329	312700	9778	1407	50	72723	66	67651	730	5072	729	+31.8142693	-102.0024538
2690	48	331	189800	28000	984	56	11641	32	10152	303	1489	298	+30.7912420	-096.9843946
2691	48	333	223700	28171	708	89	2597	163	1799	152	798	123	+31.4948885	-098.5946231
2692	48	335	85800	11696	524	388	3691	46	2758	193	933	197	+32.3041168	-100.9243924
2693	48	337	206400	17227	1008	112	10348	63	8538	263	1810	252	+33.6783558	-097.7250138
2694	48	339	346200	5747	1532	38	266019	98	247541	1559	18478	1576	+30.2988009	-095.5029500
2695	48	341	152600	12174	939	76	8277	32	7157	272	1120	277	+35.8356759	-101.8905018
2696	48	343	120400	11541	859	76	5821	18	4895	218	926	217	+33.1164660	-094.7312653
2697	48	345	88000	22999	675	211	734	74	460	69	274	58	+34.0578993	-100.7931519
2698	48	347	169200	9483	965	32	29156	95	25302	440	3854	467	+31.6205598	-094.6202497
2699	48	349	172600	10215	1076	60	22191	61	19044	435	3147	429	+32.0484480	-096.4769087
2700	48	351	103100	14662	1001	272	6492	21	4841	245	1651	242	+30.7867182	-093.7392500
2701	48	353	96300	9521	913	80	7104	40	5886	219	1218	215	+32.3123379	-100.4181078
2702	48	355	208800	4087	1283	28	154408	72	131160	1287	23248	1287	+27.7400315	-097.5162143
2703	48	357	134400	16264	891	237	4345	20	3680	214	665	213	+36.2787442	-100.8158636
2704	48	359	162800	29011	1111	122	776	68	614	70	162	42	+35.4019206	-102.5976203
2705	48	361	173400	7758	1100	38	37937	48	32437	550	5500	550	+30.1223229	-093.8940999
2706	48	363	198000	21808	1093	81	15206	31	11234	257	3972	254	+32.7522042	-098.3179673
2707	48	365	158100	9870	834	54	10853	25	8898	282	1955	282	+32.1639784	-094.3051563
2708	48	367	375900	9846	1500	72	59879	116	56437	682	3442	665	+32.7770964	-097.8059049
2709	48	369	146700	18943	1081	91	3745	16	3231	140	514	142	+34.5321628	-102.7848533
2710	48	371	165700	14854	918	147	5897	25	5238	168	659	169	+30.7732980	-102.7181533
2711	48	373	184800	17395	987	68	26469	63	19517	595	6952	587	+30.7845525	-094.8373376
2712	48	375	147300	6136	1022	28	49390	70	42581	662	6809	645	+35.3986751	-101.8938040
2713	48	377	121300	29566	448	197	3273	205	2418	211	855	155	+30.0058912	-104.2616192
2714	48	379	241100	24281	989	127	5925	23	4856	257	1069	264	+32.8704571	-095.7956130
2715	48	381	238800	4639	1170	34	61677	54	56807	589	4870	589	+34.9625290	-101.8955472
2716	48	383	171500	53388	746	441	1336	84	1033	109	303	97	+31.3751911	-101.5143954
2717	48	385	112500	67451	1188	492	1951	146	1128	140	823	113	+29.8300967	-099.8125490
2718	48	387	121500	26638	1044	119	6194	21	4978	186	1216	182	+33.6196255	-095.0484293
2719	48	389	118000	7588	981	82	5167	68	4224	203	943	191	+31.3083660	-103.7127060
2720	48	391	99000	14550	795	244	3359	16	2495	138	864	135	+28.3221157	-097.1624723
2721	48	393	161500	55507	859	534	393	48	323	51	70	29	+35.8385960	-100.8366824
2722	48	395	185900	29735	779	112	8612	24	6701	244	1911	243	+31.0254810	-096.5149408
2723	48	397	415500	10102	1992	97	43580	55	41237	444	2343	439	+32.8998859	-096.4120504
2724	48	399	109300	11215	847	146	4990	21	3809	194	1181	192	+31.8451193	-099.9827145
2725	48	401	171300	7398	1015	54	21311	61	18027	375	3284	392	+32.1094232	-094.7563823
2726	48	403	153100	20788	844	279	7697	24	4649	329	3048	339	+31.3432997	-093.8519129
2727	48	405	99900	18701	591	150	4814	13	2940	231	1874	231	+31.3824492	-094.1631796
